2025-03-13 13:23:46 - vectorpy_vectorpy.logger - INFO - Starting token refresh scheduler... (api_client.py:160)
2025-03-13 13:37:48 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 13:51:49 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 14:05:50 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 14:19:51 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 14:33:52 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 14:47:54 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 15:01:55 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 15:15:56 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 15:29:57 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-03-13 15:42:25 - vectorpy_vectorpy.logger - ERROR - Request error occurred: HTTPSConnectionPool(host='api.stage.vectoriousmed.com', port=443): Max retries exceeded with url: /tenant/v1/implants/patient/GP-01-007 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000019C7482BAC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')) (__requests_wrapper.py:112)
